chr	id	rsid	description	level
chr5	131733397	rs11739135	Single_Nucleotides|eQTL|SLC22A4, Single_Nucleotides|eQTL|SLC22A5, Motifs|PWM|POU5F1, Motifs|Footprinting|Ttk, Protein_Binding|ChIP-seq|RFX3	1f
chr5	131801947	rs2522057	Single_Nucleotides|eQTL|SLC22A4, Single_Nucleotides|eQTL|SLC22A5, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|FAIRE|Nhek, Protein_Binding|ChIP-seq|GATA1, Protein_Binding|ChIP-seq|ELF1	1f
chr5	131820997	rs17622656	Single_Nucleotides|eQTL|SLC22A4, Single_Nucleotides|eQTL|SLC22A5, Chromatin_Structure|DNase-seq|Nhek, Chromatin_Structure|DNase-seq|Hmec, Chromatin_Structure|DNase-seq|Phte, Chromatin_Structure|DNase-seq|Saec, Chromatin_Structure|DNase-seq|Hpde6e6e7, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|STAT3, Protein_Binding|ChIP-seq|STAT3	1f
chr6	26345141	rs10946813	Single_Nucleotides|eQTL|BTN3A2, Chromatin_Structure|DNase-seq|K562, Protein_Binding|ChIP-seq|TAL1	1f
chr6	26365147	rs9393709	Single_Nucleotides|eQTL|BTN3A2, Chromatin_Structure|DNase-seq|Hah, Chromatin_Structure|DNase-seq|Hasp, Chromatin_Structure|DNase-seq|Panc1, Chromatin_Structure|DNase-seq|Sknmc, Chromatin_Structure|DNase-seq|Cll, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|DNase-seq|Melano, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|FAIRE|Gm19239, Protein_Binding|ChIP-seq|RFX3, Protein_Binding|ChIP-seq|ETS1	1f
chr6	26365346	rs3734536	Single_Nucleotides|eQTL|BTN3A2, Single_Nucleotides|eQTL|BTN2A2, Single_Nucleotides|eQTL|BTN3A2, Chromatin_Structure|DNase-seq|Cll, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|DNase-seq|Melano, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|Panislets, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Gliobla, Chromatin_Structure|DNase-seq|Htr8, Chromatin_Structure|DNase-seq|Aosmc, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|DNase-seq|Helas3Ifna4h, Chromatin_Structure|DNase-seq|A549, Chromatin_Structure|DNase-seq|Fibrop, Chromatin_Structure|DNase-seq|Hepg2, Chromatin_Structure|DNase-seq|Fibrobl, Chromatin_Structure|DNase-seq|Hpde6e6e7, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|FAIRE|Gliobla, Chromatin_Structure|DNase-seq|Huh7, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|Progfib, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|FAIRE|Hepg2, Chromatin_Structure|FAIRE|K562, Chromatin_Structure|FAIRE|K562, Chromatin_Structure|FAIRE|Mcf7, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|DNase-seq|Helas3, Chromatin_Structure|DNase-seq|Phte, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|UrotsaUt189, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|Urotsa, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Medullo, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|K562, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|H9es, Chromatin_Structure|DNase-seq|Gm12891, Chromatin_Structure|DNase-seq|Hmec, Chromatin_Structure|DNase-seq|Nhek, Chromatin_Structure|FAIRE|Gm12878, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|FAIRE|Huvec, Chromatin_Structure|FAIRE|K562, Chromatin_Structure|FAIRE|Nhek, Chromatin_Structure|FAIRE|Panislets, Chromatin_Structure|DNase-seq|Gm12865, Chromatin_Structure|DNase-seq|Hmveclly, Chromatin_Structure|DNase-seq|Nhdfneo, Chromatin_Structure|DNase-seq|Ag04449, Chromatin_Structure|DNase-seq|Ag10803, Chromatin_Structure|DNase-seq|Be2c, Chromatin_Structure|DNase-seq|Hcm, Chromatin_Structure|DNase-seq|Hconf, Chromatin_Structure|DNase-seq|Hee, Chromatin_Structure|DNase-seq|Hff, Chromatin_Structure|DNase-seq|Hgf, Chromatin_Structure|DNase-seq|Hmf, Chromatin_Structure|DNase-seq|Hmvecdblad, Chromatin_Structure|DNase-seq|Hmvecdneo, Chromatin_Structure|DNase-seq|Hmveclbl, Chromatin_Structure|DNase-seq|Jurkat, Chromatin_Structure|DNase-seq|Wi38, Chromatin_Structure|DNase-seq|Hffmyc, Chromatin_Structure|DNase-seq|Hipe, Chromatin_Structure|DNase-seq|Hmvecdblneo, Chromatin_Structure|DNase-seq|Hmvecdlyneo, Chromatin_Structure|DNase-seq|Hnpce, Chromatin_Structure|DNase-seq|Gm12864, Chromatin_Structure|DNase-seq|Hbmec, Chromatin_Structure|DNase-seq|Hcfaa, Chromatin_Structure|DNase-seq|Hcf, Chromatin_Structure|DNase-seq|Hcpe, Chromatin_Structure|DNase-seq|Ag09309, Chromatin_Structure|DNase-seq|Hmvecdlyad, Chromatin_Structure|DNase-seq|Osteobl, Chromatin_Structure|DNase-seq|Ag04450, Chromatin_Structure|DNase-seq|Monocd14, Chromatin_Structure|DNase-seq|Nb4, Chromatin_Structure|DNase-seq|Nhdfad, Chromatin_Structure|DNase-seq|Hvmf, Chromatin_Structure|DNase-seq|Hpf, Chromatin_Structure|DNase-seq|Nha, Chromatin_Structure|DNase-seq|Saec, Chromatin_Structure|DNase-seq|Skmc, Chromatin_Structure|DNase-seq|Nhlf, Chromatin_Structure|DNase-seq|Wi38, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|FAIRE|Medullo, Chromatin_Structure|DNase-seq|Sknshra, Chromatin_Structure|DNase-seq|Th1, Chromatin_Structure|DNase-seq|Th2, Chromatin_Structure|DNase-seq|Werirb1, Chromatin_Structure|DNase-seq|Hpdlf, Chromatin_Structure|DNase-seq|Hl60, Chromatin_Structure|DNase-seq|Hct116, Chromatin_Structure|DNase-seq|Hah, Chromatin_Structure|DNase-seq|Rptec, Chromatin_Structure|DNase-seq|Bj, Chromatin_Structure|DNase-seq|Hae, Chromatin_Structure|DNase-seq|Hre, Chromatin_Structure|DNase-seq|Ag09319, Chromatin_Structure|DNase-seq|H7es, Chromatin_Structure|DNase-seq|Hac, Chromatin_Structure|DNase-seq|Hrce, Chromatin_Structure|DNase-seq|Hrgec, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|DNase-seq|Hepatocytes, Protein_Binding|ChIP-seq|RFX3, Protein_Binding|ChIP-seq|RFX5, Protein_Binding|ChIP-seq|TBP, Protein_Binding|ChIP-seq|IRF1, Protein_Binding|ChIP-seq|RFX5, Protein_Binding|ChIP-seq|RFX5, Protein_Binding|ChIP-seq|USF2, Protein_Binding|ChIP-seq|RFX5, Protein_Binding|ChIP-seq|GTF2F1, Protein_Binding|ChIP-seq|NFYA, Protein_Binding|ChIP-seq|ETS1	1f
chr6	26376628	rs12214031	Single_Nucleotides|eQTL|BTN3A2, Protein_Binding|ChIP-seq|SPI1, Protein_Binding|ChIP-seq|SPI1	1f
chr6	26390830	rs2076029	Single_Nucleotides|eQTL|BTN3A2, Chromatin_Structure|DNase-seq|Hipe, Protein_Binding|ChIP-seq|CEBPB, Protein_Binding|ChIP-seq|CEBPB	1f
chr6	26415637	rs742090	Single_Nucleotides|eQTL|BTN2A2, Single_Nucleotides|eQTL|BTN3A2, Single_Nucleotides|eQTL|ZNF322B, Motifs|PWM|PPARdirectrepeat1, Motifs|PWM|HNF4, Motifs|PWM|HNF4A, Chromatin_Structure|DNase-seq|Hepg2, Chromatin_Structure|FAIRE|Hepg2, Protein_Binding|ChIP-seq|HNF4A	1c
chr6	30080496	rs2844793	Single_Nucleotides|eQTL|HLA-A, Chromatin_Structure|FAIRE|Helas3, Protein_Binding|ChIP-seq|SPI1, Protein_Binding|ChIP-seq|SPI1	1f
chr6	30081189	rs2517597	Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Motifs|PWM|PPARG, Chromatin_Structure|DNase-seq|Huh7, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|DNase-seq|Gm06990, Chromatin_Structure|DNase-seq|Hepg2, Protein_Binding|ChIP-seq|NFKB1, Protein_Binding|ChIP-seq|EBF1, Protein_Binding|ChIP-seq|POU2F2, Protein_Binding|ChIP-seq|POU2F2, Protein_Binding|ChIP-seq|NFKB1, Protein_Binding|ChIP-seq|NFKB1, Protein_Binding|ChIP-seq|NFKB1	1d
chr6	30081246	rs2523986	Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|DNase-seq|Gm06990, Chromatin_Structure|DNase-seq|Hepg2	1f
chr6	30122657	rs2523735	Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Single_Nucleotides|eQTL|BTN3A2, Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-DQB1, Single_Nucleotides|eQTL|HLA-G, Single_Nucleotides|eQTL|HLA-H, Single_Nucleotides|eQTL|TRIM10, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Helas3Ifna4h, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|UrotsaUt189, Chromatin_Structure|FAIRE|Hepg2, Chromatin_Structure|DNase-seq|Urotsa, Chromatin_Structure|FAIRE|Gliobla, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|FAIRE|Htr8, Chromatin_Structure|FAIRE|Nhek, Chromatin_Structure|DNase-seq|H7es, Chromatin_Structure|DNase-seq|Ag04450, Chromatin_Structure|DNase-seq|Hl60, Chromatin_Structure|DNase-seq|Hmveclly, Chromatin_Structure|DNase-seq|Hmvecdlyad, Chromatin_Structure|DNase-seq|Hct116, Chromatin_Structure|DNase-seq|Ag09309, Chromatin_Structure|DNase-seq|Hcf, Chromatin_Structure|DNase-seq|Ag10803, Chromatin_Structure|DNase-seq|Aoaf, Chromatin_Structure|DNase-seq|Bj, Chromatin_Structure|DNase-seq|Hac, Chromatin_Structure|DNase-seq|Hah, Chromatin_Structure|DNase-seq|Hcm, Chromatin_Structure|DNase-seq|Hee, Chromatin_Structure|DNase-seq|Hrce, Chromatin_Structure|DNase-seq|Hae, Chromatin_Structure|DNase-seq|Hff, Chromatin_Structure|DNase-seq|Hmvecdblad, Chromatin_Structure|DNase-seq|Hmvecdneo, Chromatin_Structure|DNase-seq|Skmc, Chromatin_Structure|DNase-seq|Ag04449, Chromatin_Structure|DNase-seq|Hmvecdlyneo, Chromatin_Structure|DNase-seq|Nhlf, Chromatin_Structure|DNase-seq|Rptec, Chromatin_Structure|DNase-seq|Saec, Chromatin_Structure|DNase-seq|Hffmyc, Chromatin_Structure|DNase-seq|Hgf, Chromatin_Structure|DNase-seq|Hipe, Chromatin_Structure|DNase-seq|Hpdlf, Chromatin_Structure|DNase-seq|Sknmc, Chromatin_Structure|DNase-seq|Wi38, Chromatin_Structure|DNase-seq|Ag09319, Chromatin_Structure|DNase-seq|Hcpe, Chromatin_Structure|DNase-seq|Hmf, Chromatin_Structure|DNase-seq|Hmvecdblneo, Chromatin_Structure|DNase-seq|Hpaf, Chromatin_Structure|DNase-seq|Wi38, Chromatin_Structure|DNase-seq|Hbmec, Chromatin_Structure|DNase-seq|Hmveclbl, Chromatin_Structure|DNase-seq|Hre, Chromatin_Structure|DNase-seq|Nhdfad, Chromatin_Structure|DNase-seq|Nhdfneo, Chromatin_Structure|DNase-seq|Hcfaa, Chromatin_Structure|DNase-seq|Hconf, Chromatin_Structure|FAIRE|Urotsa, Chromatin_Structure|DNase-seq|Hvmf, Chromatin_Structure|DNase-seq|Melano, Chromatin_Structure|DNase-seq|Hmec, Chromatin_Structure|DNase-seq|Hpde6e6e7, Chromatin_Structure|DNase-seq|Hepg2, Chromatin_Structure|DNase-seq|Htr8, Chromatin_Structure|DNase-seq|Progfib, Chromatin_Structure|DNase-seq|Nhek, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|Phte, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|Aosmc, Chromatin_Structure|DNase-seq|Fibrobl, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|Gliobla, Chromatin_Structure|DNase-seq|Helas3, Chromatin_Structure|DNase-seq|A549, Chromatin_Structure|DNase-seq|Osteobl, Chromatin_Structure|DNase-seq|Fibrop, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Panislets, Chromatin_Structure|DNase-seq|Nha, Chromatin_Structure|DNase-seq|Huvec, Protein_Binding|ChIP-seq|FOSL2, Protein_Binding|ChIP-seq|HNF4G, Protein_Binding|ChIP-seq|JUND, Protein_Binding|ChIP-seq|TFAP2A, Protein_Binding|ChIP-seq|TFAP2C, Protein_Binding|ChIP-seq|JUN, Protein_Binding|ChIP-seq|JUND, Protein_Binding|ChIP-seq|JUND, Protein_Binding|ChIP-seq|FOS, Protein_Binding|ChIP-seq|ZNF263	1f
chr6	30296253	rs3094064	Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Motifs|PWM|Bcl6b, Protein_Binding|ChIP-seq|GATA1	1f
chr6	30323393	rs3130377	Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Chromatin_Structure|DNase-seq|H7es	1f
chr6	30327839	rs3130350	Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Single_Nucleotides|eQTL|BTN3A2, Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-DQA1, Single_Nucleotides|eQTL|HLA-DQB1, Single_Nucleotides|eQTL|HLA-DRB1, Single_Nucleotides|eQTL|HLA-G, Single_Nucleotides|eQTL|HLA-H, Single_Nucleotides|eQTL|ZFP57, Chromatin_Structure|DNase-seq|Nb4	1f
chr6	30328192	rs3130351	Single_Nucleotides|eQTL|C6orf12, Single_Nucleotides|eQTL|Contig14433_RC, Single_Nucleotides|eQTL|TRIM40, Single_Nucleotides|eQTL|XM_173626, Single_Nucleotides|eQTL|BTN3A2, Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-DQA1, Single_Nucleotides|eQTL|HLA-DQB1, Single_Nucleotides|eQTL|HLA-DRB1, Single_Nucleotides|eQTL|HLA-G, Single_Nucleotides|eQTL|HLA-H, Single_Nucleotides|eQTL|ZFP57, Chromatin_Structure|DNase-seq|Werirb1	1f
chr6	30611350	rs9262132	Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Motifs|Footprinting|RXR::RAR_DR5, Motifs|Footprinting|RXR::RAR_DR5, Motifs|PWM|RXR::RAR_DR5, Chromatin_Structure|DNase-seq|Huvec	1f
chr6	30644137	rs9262141	Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Single_Nucleotides|eQTL|NA, Motifs|Footprinting|Ik-2, Motifs|PWM|Ik-2, Motifs|PWM|Tcf3, Protein_Binding|ChIP-seq|POLR2A	1f
